Kenya,KEN,CO2 emissions (metric tons per capita),188,209,227,247,242,249,286,301,302,274,310,322,357,383,376,358,349,300
Kiribati,KIR,CO2 emissions (metric tons per capita),563,552,758,742,622,608,594,486,477,564,556,549,541,711,701,691,578,570
"Korea, Dem. People's Rep.",PRK,CO2 emissions (metric tons per capita),3090,3132,3246,3282,2714,2996,2266,2103,1501,1552,1116,1254,1005,1189,880,709,1145,1137
"Korea, Rep.",KOR,CO2 emissions (metric tons per capita),9701,10085,9963,10053,10301,10462,10655,11589,11961,11932,11851,11548,11889,12003,12175,12225,12651,11656
Kuwait,KWT,CO2 emissions (metric tons per capita),25735,27035,29623,29351,27452,27451,26600,26154,25618,24961,24178,22645,22953,22715,22120,21623,22974,20825
Kyrgyz Republic,KGZ,CO2 emissions (metric tons per capita),1108,1089,1027,1019,1228,1412,1256,1166,1382,1794,1640,1664,1724,1596,1507,1740,1717,1764
Lao PDR,LAO,CO2 emissions (metric tons per capita),206,214,219,281,291,339,413,461,479,507,598,666,1285,2244,2662,2661,4733,4652
Latvia,LVA,CO2 emissions (metric tons per capita),3317,3367,3448,3696,3877,3725,3437,4062,3835,3721,3702,3651,3702,3649,3666,3959,4011,3591
Lebanon,LBN,CO2 emissions (metric tons per capita),3967,3913,3678,3410,3157,3916,4554,4216,4071,4240,3930,3983,4141,4142,4294,4040,3888,3805
Lesotho,LSO,CO2 emissions (metric tons per capita),902,932,952,965,986,1012,1055,1082,1103,1132,1129,1130,1083,1094,1167,1219,1092,1019
Liberia,LBR,CO2 emissions (metric tons per capita),156,179,208,207,185,150,144,188,212,230,214,280,282,307,268,274,222,200
Libya,LBY,CO2 emissions (metric tons per capita),7878,7966,8473,8386,7748,8495,8772,9234,6090,8320,8700,9384,8388,7883,8633,8825,8043,7382
Liechtenstein,LIE,CO2 emissions (metric tons per capita),6731,6678,6625,6576,5679,6203,5879,5278,4959,5189,5143,4299,4271,3984,4232,3692,3903,3698
Lithuania,LTU,CO2 emissions (metric tons per capita),3288,3527,3862,3982,4088,4084,3696,4068,3910,3993,3831,3703,3811,3905,3967,4137,5045,5069
